Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
A,Agilent Technologies Inc.,Healthcare,173.94,0.004371583,0.077777778,0.11024999,0.760393203,52655.58087,53.18745543,0.236882618,0.916576422
AA,Alcoa Corp,Basic Materials,48.83,0,,,0,9124.674397,21.17093828,0,1.773967213
AAC,Ares Acquisition Corporation,N/A,9.74,0,,,0,974,0,N/A,
AAL,American Airlines Group Inc,Industrials,19.73,0,,,0,12774.34301,N/A,0,1.273078228
AAME,Atlantic American Corp.,Financial Services,4,0.005,,,0.02,81.643052,0,N/A,
AAN,Aarons Company Inc (The),Industrials,26.93,0.011101035,,,0.298950878,879.872175,0,N/A,
AAOI,Applied Optoelectronics Inc,Technology,7.46,0,,,0,202.474605,N/A,0,1.133933791
AAON,AAON Inc.,Industrials,66,0.005749342,,,0.379456561,3458.646378,45.30404068,0.265354239,0.806028556
AAP,Advance Auto Parts Inc,Consumer Cyclical,205.8,0.019436346,3,0.755374358,2.4898588,12965.5525,20.774833,0.268014941,0.694465133
AAPL,Apple Inc,Technology,146.06,0.006024921,-0.731707317,-0.173373041,0.848058398,2414396.046,27.81498175,0.16628596,1.459351806
AAT,American Assets Trust Inc,Real Estate,38.01,0.028893241,0.2,0.029033661,1.098232105,2298.543191,126.7532365,4.612482593,1.275529754
AAWW,Atlas Air Worldwide Holdings Inc.,Industrials,75.63,0,,,0,2195.152128,4.823831655,0,0.869370188
AAXN,Axon Enterprise Inc,Industrials,174.54,0,,,0,11091.9992,N/A,0,1.123560887
ABBV,Abbvie Inc,Healthcare,107.73,0.04826882,0.101694915,0.179271219,4.995532537,190377.8201,28.87137095,1.346504727,0.696906595
ABC,Amerisource Bergen Corp.,Healthcare,123.47,0.014254475,0.047619048,0.038082721,1.750123831,25655.47521,N/A,N/A,0.665700669
ABCB,Ameris Bancorp,Financial Services,47.83,0.012486751,0,0.084471771,0.597241319,3336.926673,7.875329341,0.098069182,1.203924036
ABEO,Abeona Therapeutics Inc,Healthcare,1.2,0,,,0,121.472417,0,N/A,0.202899159
ABG,Asbury Automotive Group Inc,Consumer Cyclical,181.93,0,,,0,3518.776172,8.179396029,0,1.262049269
ABIO,ARCA biopharma Inc,Healthcare,3.1,0,,,0,44.671443,0,N/A,0.649760888
ABM,ABM Industries Inc.,Industrials,45.08,0.016858917,0.027027027,0.028617554,0.750264938,3031.230411,20.8762425,0.350591093,1.098525526
ABMD,Abiomed Inc.,Healthcare,355,0,,,0,16109.98272,104.3311576,0,0.82347673
ABR,Arbor Realty Trust Inc.,Real Estate,18.08,0.077433628,0.129032258,0.155377284,1.30326543,2570.188453,8.102252555,0.5870565,1.089174485
ABT,Abbott Laboratories,Healthcare,126.79,0.014196703,0.25,0.115957957,1.700835346,224775.5117,35.25337385,0.477762738,0.569061329
ABTX,Allegiance Bancshares Inc,Financial Services,36.61,0.012509046,,,0.45795618,740.062034,10.13145188,0.127920721,0.971325176
AC,Associated Capital Group Inc,Financial Services,35.12,0.005687384,,,0.199740918,110.127259,0,N/A,1.06108919
ACA,Arcosa Inc,Industrials,50.25,0.00397502,,,0.199744775,2432.141356,0,N/A,1.509595893
ACAD,Acadia Pharmaceuticals Inc,Healthcare,16.7,0,,,0,2682.742843,N/A,0,0.321512028
ACBI,Atlantic Capital Bancshares Inc,Financial Services,22.86,0,,,0,464.12562,10.60979815,0,1.006009299
